school,suburb,state,postcode,score,schoolType,educationLevel
Nemarluk School,ALAWA,NT,0810,,Government,primary
Nakara Primary School,NAKARA,NT,0810,97,Government,primary
Moil Primary School,MOIL,NT,0810,,Government,primary
The Essington School,RAPID CREEK,NT,0810,100,Private,secondary
Dripstone Middle School,TIWI,NT,0810,97,Government,secondary
Henbury School,TIWI,NT,0810,,Government,secondary
Nightcliff Middle School,NIGHTCLIFF,NT,0810,97,Government,secondary
Holy Spirit Catholic Primary School,WANGURI,NT,0810,96,Catholic,primary
Wagaman Primary School,WAGAMAN,NT,0810,93,Government,primary
Casuarina Senior College,MOIL,NT,0810,,Government,secondary
Wanguri Primary School,WANGURI,NT,0810,,Government,primary
Millner Primary School,MILLNER,NT,0810,,Government,primary
Jingili Primary School,JINGILI,NT,0810,94,Government,primary
St Paul's Catholic Primary School,RAPID CREEK,NT,0810,97,Catholic,primary
The Essington School,RAPID CREEK,NT,0810,100,Private,primary
Alawa Primary School,ALAWA,NT,0810,96,Government,primary
Nightcliff Primary School,NIGHTCLIFF,NT,0810,98,Government,primary
Sanderson Middle School,MALAK,NT,0812,91,Government,secondary
Malak Primary School,MALAK,NT,0812,,Government,primary
Holy Family Catholic Primary School,KARAMA,NT,0812,93,Catholic,primary
Top End School of Flexible Learning,MALAK,NT,0812,,Government,secondary
SEDA College NT - St Mary's Club campus,MARRARA,NT,0812,,Private,secondary
SEDA College NT - Tennis NT campus,MARRARA,NT,0812,,Private,secondary
Marrara Christian College,MARRARA,NT,0812,94,Private,secondary
O'Loughlin Catholic College,KARAMA,NT,0812,96,Catholic,secondary
Marrara Christian College,MARRARA,NT,0812,92,Private,primary
NT Christian College,MARRARA,NT,0812,,Private,secondary
Manunda Terrace Primary School,KARAMA,NT,0812,,Government,primary
Wulagi Primary School,WULAGI,NT,0812,93,Government,primary
Good Shepherd Lutheran College - St Andrews Campus,LEANYER,NT,0812,,Private,primary
Karama Primary School,KARAMA,NT,0812,,Government,primary
Anula Primary School,ANULA,NT,0812,95,Government,primary
Leanyer Primary School,LEANYER,NT,0812,90,Government,primary
SEDA College NT,FANNIE BAY,NT,0820,,Private,secondary
Larrakeyah Primary School,LARRAKEYAH,NT,0820,99,Government,primary
SEDA College NT - Waratah Club campus,THE GARDENS,NT,0820,,Private,secondary
Darwin Middle School,THE GARDENS,NT,0820,99,Government,secondary
Ludmilla Primary School,LUDMILLA,NT,0820,,Government,primary
Northern Territory School of Distance Education,THE GARDENS,NT,0820,,Government,secondary
Darwin High School,THE GARDENS,NT,0820,,Government,secondary
Parap Primary School,PARAP,NT,0820,97,Government,primary
Stuart Park Primary School,STUART PARK,NT,0820,96,Government,primary
St John's Catholic College,THE GARDENS,NT,0820,92,Catholic,secondary
Middle Point School,MIDDLE POINT,NT,0822,,Government,primary
Haileybury Rendall School,BERRIMAH,NT,0828,99,Private,secondary
Australian International Islamic College Darwin,BERRIMAH,NT,0828,,Private,primary
